"";"Mamiellales";"Ustilaginomycotina";"Dino-Group-I";"Bacillariophyta_X";"Crustacea";"Chloropicales";"Chlorellales";"Cryptomonadales";"Gymnodiniales";"Dino-Group-II";"Phaeocystales";"Pezizomycotina";"Pelagomonadales";"Strombidiida";"Chlorodendrales";"Pseudoscourfieldiales";"Choreotrichida";"Agaricomycotina";"Dino-Group-III";"Annelida_X";"NA";"MAST-7B";"Picozoa_XX";"Strombidiida_F";"CONThreeP_X";"MAST-4A";"Pucciniomycotina";"Ulvales-relatives";"Dinophyceae_X";"MAST-4E";"Katablepharidales";"MAST-4B";"MAST-7A";"Prasinodermales";"Tintinnida";"MAST-3F";"Dolichomastigales";"MAST-7C";"Labyrinthulida";"Thraustochytrida";"MAST-2B";"Ctenophora_X";"Strombidiida_G";"MAST-3E";"Saccharomycotina";"Chrysophyceae_X";"Peridiniales";"Prymnesiales";"MAST-4C";"Telonemia_XX";"Cryptomycotina";"Porifera_X";"Pyramimonadales";"Prorocentrales";"MAST-1B";"Scuticociliatia_1";"Parmales";"Ebriida";"Pirsonia_Clade_X";"Labyrinthulomycetes_X";"Anoecales";"Filosa-Thecofilosea_X";"Cryptomonadales:nucl";"Pterocystida";"Nemertea_X";"Embryophyceae_X";"Cnidaria_X";"MAST-7D";"Polyplacophora";"Dictyochophyceae_X";"Bicoecales";"MAST-1C";"Bryozoa_X";"MAST-3D";"Haptoria_4";"Variosea_X";"Cryomonadida";"Torodiniales";"MAST-9C";"Urochordata_X";"MOCH-3_X";"MAST-8A";"MAST-9D";"MAST-12A";"Rotifera_X";"MAST-11_X";"MAST-12E";"Chlorarachnida";"Litostomatea_X";"Suessiales";"ATCC50593-Flamella-WIM80-lineage";"Acanthoecida";"MAST-4D";"Corallinales";"Suctoria";"Chytridiomycotina";"CONTH_8_X";"MAST-10_X";"MAST-12B";"Strombidiida_B";"Gigartinales";"Stramenopiles_XXX";"Filosa-Imbricatea_X";"Gelidiales";"RAD-B_X";"Echinodermata_X";"Syracosphaerales";"MAST-3J";"Ellobiopsidae_X";"Pyrenomonadales";"MAST-2D";"Turbellaria";"MAST-6_X";"Marimonadida";"Craniata_X";"Colaconematales";"Thalassomycetales";"Prymnesiophyceae_Clade_D";"Chlorarachniophyceae_X";"MOCH-2_X";"Craspedida";"MAST-1A";"Ventricleftida";"MAST-3I";"Ceramiales";"Cyrtophoria_7";"MOCH-1_X";"Haptophyta_Clade_HAP3_X";"Bonnemaisoniales";"Ichthyosphonida";"MAST-8B";"Ulvophyceae_X";"Oltmansiellopsidales";"Isochrysidales";"RAD-A_X";"Gonyaulacales";"Haptoria_5";"Dino-Group-V";"Oomycota_X";"Prymnesiophyceae_Clade_E";"Rhodymeniales";"Apicomplexa_XX";"MAST-8E";"Nassophorea_X";"Prasino-Clade-9_X";"Perkinsida_X";"Bivalvia";"Cyrtophoria_8";"Dino-Group-IV";"MAST-3K";"Ulotrichales";"Thaumatomonadida";"Stramenopiles_X-Group-2_X";"MAST-3L";"Prymnesiophyceae_Clade_F";"Oblongichytrida";"Colpodellida";"Planomonadidae";"MAST-8C";"Peritrichia_2";"Cyrtophoria_1";"Halymeniales";"Apusomonadidae_Group-2B";"MOCH-5_X";"Haptophyta_Clade_HAP5_X";"Prymnesiophyceae_X";"MAST-25_X";"MAST-12_X";"OLIGO5";"Chlamydomonadales";"Chromadorea";"Nassellaria";"MAST-9A";"Dinophysiales";"Amphifilida";"Strombidiida_D";"MAST-3C";"Nolandida";"Gracilariales";"MOCH-4_X";"Entoprocta_X";"Prasino-Clade-VIII_X";"Apusomonadidae_Group-1_X";"MAST-1D";"Leptomyxida";"Echinamoebida";"Vampyrellida";"Cyrtophoria_5";"Hypotrichia";"MAST-8D";"Cryptofilida";"Haptophyta_Clade_HAP4_X";"Cyrtophoria_2";"Monothalamids_Clade-C"
"C4_2018.02";733;2682;3984;17885;921;192;0;214;504;1517;515;0;53;2382;203;508;852;0;0;203;0;8;14;0;23;0;39;0;47;19;122;0;0;16;814;0;0;0;392;994;238;0;0;0;0;1385;428;419;42;87;0;6;220;8;0;15;0;21;86;0;27;448;175;4;0;13;101;0;0;21;41;68;0;38;0;0;66;0;0;35;0;0;0;12;124;0;0;60;0;26;0;0;0;0;4;38;0;0;122;0;0;98;301;0;0;0;0;79;0;56;0;0;7;0;0;0;0;0;0;0;78;0;0;83;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;6;0;0;8;0;12;0;0;0;0;45;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C4_2018.04";4908;2572;5400;2114;2527;1406;63;1243;942;2682;439;52;5835;2234;14;36;610;122;132;0;0;39;80;121;203;196;0;0;254;5;469;15;46;73;343;69;75;0;62;171;30;0;69;24;0;489;532;452;0;336;0;0;507;201;5;0;240;35;76;66;0;26;0;55;0;0;69;9;0;230;0;123;0;0;0;0;75;33;39;10;0;29;12;173;86;0;0;0;22;97;0;20;0;0;44;12;0;19;36;0;0;0;9;0;0;0;34;65;0;0;28;0;6;0;40;0;0;51;18;168;18;0;0;0;0;0;0;10;0;9;33;0;0;29;0;38;0;0;0;66;0;23;7;0;19;0;0;0;2;0;0;16;0;0;0;13;0;6;0;12;3;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;9;0;0;0;3;8;0;0;0
"F1_2017.04";3153;5569;2953;736;722;0;0;5899;2119;534;785;149;86;6442;19;52;1706;101;148;114;0;449;2099;82;311;52;135;0;345;0;219;119;121;0;0;973;63;0;5;10;21;110;936;95;110;203;354;335;0;151;0;41;99;89;0;0;154;0;0;64;0;0;0;115;0;0;97;33;0;82;0;495;0;62;0;0;11;0;0;0;0;24;0;32;0;0;0;34;86;47;0;98;0;13;14;0;0;13;132;12;0;6;56;0;0;0;0;0;0;0;6;0;96;0;13;0;0;0;21;0;0;0;0;0;0;0;27;0;0;0;0;0;0;11;0;0;40;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;12;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F1_2018.02";655;4660;2414;18799;833;202;8;129;812;2068;63;0;55;201;0;306;64;0;148;79;0;214;105;0;0;41;0;0;334;16;142;185;240;64;50;116;2;106;138;531;0;0;0;49;0;266;214;78;125;16;0;17;9;139;27;19;20;0;0;116;66;52;51;0;0;0;0;37;0;0;49;30;0;0;0;0;81;5;0;38;0;12;0;0;9;0;3;12;0;10;0;17;19;5;0;205;0;0;42;0;0;0;7;0;0;0;0;0;0;2;0;0;0;28;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;27;0;0;0;9;0;0;0;0;0;0;0;0;3;12;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F1_2018.04";6785;2851;15370;322;314;4546;1880;1415;407;2146;35;395;462;313;13;456;11;46;243;20;0;59;150;37;27;145;95;0;204;97;54;50;36;290;39;22;37;0;11;134;0;0;33;42;0;275;222;83;5;47;0;89;108;49;22;0;26;0;0;0;0;0;0;22;0;0;30;4;0;72;0;18;0;0;0;0;18;24;47;0;31;6;0;2;10;9;0;0;0;9;0;39;0;12;17;0;0;0;0;0;0;0;8;0;4;0;0;16;0;0;14;8;0;0;6;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;44;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F2_2017.04";3820;14437;7529;199;174;100;200;1433;274;968;572;178;263;119;0;838;47;576;96;493;0;321;2360;0;31;64;111;51;39;10;77;164;278;13;0;656;71;0;49;56;19;59;26;134;496;375;66;282;0;110;0;396;24;13;77;16;243;0;0;80;382;33;0;260;11;0;171;82;0;84;0;56;13;82;0;74;37;0;32;0;0;43;0;76;0;0;5;47;0;0;0;124;0;12;18;0;0;32;160;110;0;35;92;0;12;0;0;0;0;0;0;0;27;0;5;0;11;0;11;0;22;0;0;33;0;0;133;12;0;14;15;0;0;0;11;0;26;0;0;0;0;3;6;38;0;0;0;0;3;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;12;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F2_2018.02";1669;6895;3393;9665;2659;404;0;287;933;3423;56;21;101;182;0;389;50;0;88;91;0;341;136;0;0;45;0;1;242;73;215;275;273;45;40;149;5;185;105;456;7;0;0;80;0;661;262;117;211;40;0;129;0;185;51;0;74;18;0;87;141;37;54;0;0;2;36;59;0;0;153;43;19;0;0;0;88;5;0;53;0;15;0;58;0;16;0;20;0;99;0;15;28;10;0;131;0;13;10;0;0;3;18;0;0;0;0;0;0;19;0;0;0;11;0;0;0;0;11;0;6;0;0;0;0;0;0;0;0;9;14;0;0;16;8;0;0;0;0;0;0;21;0;24;0;0;11;0;2;0;0;10;6;0;0;0;0;7;0;0;0;0;8;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F2_2018.04";15427;689;9847;203;367;1394;517;1082;591;2109;36;0;959;2602;0;129;61;49;259;0;0;198;212;162;101;513;3;0;224;386;95;202;238;81;45;54;1;0;9;47;0;0;128;56;0;684;228;102;12;44;0;61;106;65;15;0;145;0;0;0;0;0;0;19;0;0;19;14;0;47;0;35;2;0;0;0;28;20;22;77;0;16;0;4;10;35;0;0;0;11;0;33;11;0;12;0;0;15;8;0;0;0;6;0;0;0;0;0;0;0;25;0;0;0;0;0;0;10;19;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;4;4;0;0;0;4;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;12;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F3_2017.04";1651;24413;7277;23;95;62;241;325;0;234;186;354;74;243;2;450;154;1218;14;0;0;147;541;9;7;20;967;0;36;5;40;47;0;0;0;315;35;0;10;0;18;1361;49;29;149;71;0;76;0;20;0;28;0;0;34;0;38;0;0;37;0;0;0;92;18;0;50;0;0;21;0;15;0;21;0;0;0;6;32;0;0;23;0;0;0;0;0;40;0;0;0;17;0;0;0;0;0;0;75;8;0;10;28;0;0;0;0;0;0;0;0;22;11;0;0;0;0;0;0;0;13;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F3_2018.02";2724;1543;5075;1813;1477;225;9;1163;1261;8376;149;0;252;589;0;331;144;0;898;1487;0;602;595;0;30;181;0;0;534;175;566;602;577;63;11;316;23;337;130;434;18;0;0;150;0;1354;410;240;325;54;0;489;20;271;105;11;203;0;0;217;191;51;19;5;0;0;61;91;0;0;132;61;49;0;0;0;150;8;0;91;0;28;0;71;0;45;0;19;13;14;0;75;48;0;0;285;0;12;49;0;0;11;35;0;0;0;22;59;0;9;0;0;0;74;20;0;0;0;24;0;61;0;0;0;0;0;0;0;0;7;43;0;0;0;10;0;5;23;0;0;0;0;0;24;0;0;32;0;8;29;0;13;23;0;0;0;0;25;1;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"F3_2018.04";3150;5917;16203;152;107;5481;2969;506;457;2867;17;171;216;326;5;687;10;92;106;28;0;0;61;29;39;50;52;0;97;62;31;13;41;424;12;0;5;0;36;166;0;0;19;27;0;152;71;47;0;8;0;103;45;37;5;0;13;7;0;0;5;0;0;0;0;0;33;0;0;26;0;23;0;0;0;0;18;8;71;0;34;0;10;0;0;0;0;0;0;6;0;9;0;47;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;18;0;0;0;6;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F4_2017.04";518;31436;3734;43;76;100;287;400;69;63;124;308;32;75;0;513;18;621;28;18;0;65;364;25;0;17;1504;0;0;0;18;23;38;0;0;100;11;0;12;80;0;20;18;49;524;0;20;53;0;40;0;7;0;5;0;0;17;0;0;0;0;0;0;16;0;0;9;0;0;0;0;15;0;0;0;0;14;0;35;4;0;0;0;0;7;0;0;0;0;0;0;9;0;24;0;0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;15;0;0;0;0;21;0;0;0;0;0;0;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F4_2018.02";2950;2676;4525;1739;935;137;0;1065;1008;10187;111;9;268;331;0;222;77;0;696;1312;0;655;713;0;25;170;0;0;588;134;509;579;616;39;7;250;8;330;109;480;10;0;0;111;0;1160;307;178;274;48;0;447;0;368;101;5;178;0;0;164;139;83;44;20;4;0;28;123;0;18;190;90;78;0;0;0;152;7;0;100;0;33;0;85;0;58;0;54;0;10;0;92;54;13;6;231;0;13;42;5;7;5;31;0;0;0;19;68;0;27;21;0;0;0;12;0;4;0;31;0;56;0;0;0;0;0;0;5;0;9;23;0;0;0;27;0;0;20;0;0;0;2;9;36;0;0;21;0;15;0;0;0;20;0;0;0;0;21;0;15;0;0;12;0;5;6;0;0;0;0;0;0;0;0;10;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0
"F4_2018.04";9324;3291;12737;284;564;1515;746;2231;892;2231;61;67;631;1193;5;248;120;34;315;5;0;88;248;348;117;257;6;0;319;257;83;64;112;121;88;0;42;0;5;84;0;0;87;127;0;747;229;169;6;98;0;60;158;88;36;0;71;0;0;0;12;0;0;25;0;0;1;5;0;118;0;51;0;0;0;0;22;50;11;0;0;10;0;12;13;15;0;0;0;7;0;44;7;0;18;0;0;10;3;3;0;0;11;0;16;0;0;0;0;0;21;0;0;0;3;0;0;0;20;11;0;0;0;0;0;0;16;33;0;0;2;0;0;0;0;0;0;11;0;0;0;7;0;24;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H1_2017.04";16321;3904;1791;202;120;110;214;501;517;6073;1705;37;183;302;1065;159;39;12;269;114;0;439;807;18;115;114;58;100;421;132;0;11;201;93;92;0;0;0;17;21;75;0;88;57;105;102;323;542;0;80;899;46;788;111;43;0;104;0;0;8;0;0;0;6;0;0;211;0;16;56;0;0;10;0;0;0;104;19;0;3;20;21;38;35;4;0;0;15;0;42;0;3;9;144;16;121;0;0;29;0;120;0;0;95;0;71;12;0;0;0;7;0;0;0;26;0;2;0;5;27;0;9;0;0;33;0;45;0;0;15;0;0;0;1;21;0;0;0;17;2;19;0;0;0;0;0;40;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
